"EstacaoAno"	"Regiao"	"PhChuva"	"UmidadeAr_%"	"Temperatura_C"	"Temperatura_CAT"	"Localidade"	"VolumeChuva_mm/h"	"IntensidadeVento_km/h"	"IntensidadeVento_CAT"	"AlertaDefesaCivil"	"PhChuva_Cat"	"IntensidadeChuva"
String	String	Integer	Double	Integer	String	String	Integer	Integer	String	String	String	String
"Verao"	"Sudeste"	4	28.793947256462808	16	"Media"	"Urbana"	5	87	"Massivo"	"Ativou"	"Acida"	"Moderada"
"Outono"	"Norte"	11	11.477243510364264	32	"Alta"	"Rural"	12	16	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Outono"	"Centro-Oeste"	5	42.14040375483279	25	"Alta"	"Urbana"	10	6	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
"Outono"	"Centro-Oeste"	4	43.22191231751199	27	"Alta"	"Rural"	11	1	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"
"Verao"	"Sudeste"	4	32.27068015114713	18	"Media"	"Urbana"	7	71	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"
"Outono"	"Norte"	12	12.383304406738189	-4	"Baixa"	"Rural"	24	2	"Moderado"	"NaoAtivou"	"Base"	"Moderada"
"Outono"	"Nordeste"	6	67.78431211488842	2	"Media"	"Urbana"	26	118	"Furacao"	"NaoAtivou"	"Acida"	"Forte"
"Primavera"	"Sul"	1	3.9479641801072898	33	"Alta"	"Rural"	23	106	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
"Outono"	"Norte"	12	11.198910671781203	-4	"Baixa"	"Urbana"	13	22	"Forte"	"NaoAtivou"	"Base"	"Moderada"
"Verao"	"Nordeste"	7	65.6863022163582	1	"Media"	"Urbana"	29	18	"Moderado"	"NaoAtivou"	"Neutra"	"Forte"
"Inverno"	"Sul"	2	3.4055975321373744	34	"Alta"	"Urbana"	23	99	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"
"Outono"	"Norte"	11	18.059854936751066	-6	"Baixa"	"Rural"	13	118	"Furacao"	"NaoAtivou"	"Base"	"Moderada"
