"SeasonYear"	"Region"	"RainPH"	"Air_humidity_%"	"Temperature_C"	"Temperature_CAT"	"Locality"	"RainVolume_mm/h"	"WindIntensity_km/h"	"WindIntensity_CAT"	"CivilDefenseWarn"	"RainPH_Cat"	"RainIntensity"
String	String	Integer	Double	Integer	String	String	Integer	Integer	String	String	String	String
"Summer"	"Southeast"	4	28.793947256462808	16	"Medium"	"Urban"	5	87	"Massive"	"Activated"	"Acidic"	"Moderate"
"Autumn"	"North"	11	11.477243510364264	32	"High"	"Rural"	12	16	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Autumn"	"Midwest"	5	42.14040375483279	25	"High"	"Urban"	10	6	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"Midwest"	4	43.22191231751199	27	"High"	"Rural"	11	1	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Summer"	"Southeast"	4	32.27068015114713	18	"Medium"	"Urban"	7	71	"Very Strong"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"North"	12	12.383304406738189	-4	"Low"	"Rural"	24	2	"Moderate"	"Non-Activated"	"Base"	"Moderate"
"Autumn"	"Northeast"	6	67.78431211488842	2	"Medium"	"Urban"	26	118	"Hurricane"	"Non-Activated"	"Acidic"	"Strong"
"Spring"	"South"	1	3.9479641801072898	33	"High"	"Rural"	23	106	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"North"	12	11.198910671781203	-4	"Low"	"Urban"	13	22	"Strong"	"Non-Activated"	"Base"	"Moderate"
"Summer"	"Northeast"	7	65.6863022163582	1	"Medium"	"Urban"	29	18	"Moderate"	"Non-Activated"	"Neutral"	"Strong"
"Winter"	"South"	2	3.4055975321373744	34	"High"	"Urban"	23	99	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
"Autumn"	"North"	11	18.059854936751066	-6	"Low"	"Rural"	13	118	"Hurricane"	"Non-Activated"	"Base"	"Moderate"
"Summer"	"Midwest"	4	44.64094027228894	28	"High"	"Urban"	10	7	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Spring"	"Midwest"	6	42.68055493228732	21	"High"	"Rural"	10	19	"Moderate"	"Non-Activated"	"Acidic"	"Moderate"
"Summer"	"South"	0	61.018744072440214	31	"High"	"Urban"	20	108	"Massive"	"Non-Activated"	"Acidic"	"Moderate"
