"EstacaoAno"	"Regiao"	"PhChuva"	"MediaUmidadeAr_%"	"Temperatura_C"	"Temperatura_CAT"	"Localidade"	"VolumeChuva_mm/h"	"IntensidadeVento_km/h"	"IntensidadeVento_CAT"	"AlertaDefesaCivil"	"PhChuva_Cat"	"IntensidadeChuva"	"NumeroVitimas"
String	String	Integer	Double	Integer	String	String	Integer	Integer	String	String	String	String	Integer
"Inverno"	"Norte"	13	11.454739099724536	32	"Alta"	"Rural"	12	116	"Massivo"	"Ativou"	"Base"	"Moderada"	523
"Outono"	"Norte"	12	17.627613935834894	-7	"Baixa"	"Rural"	13	3	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	102
"Inverno"	"Sudeste"	3	29.909735682638505	18	"Mediana"	"Urbana"	27	81	"Massivo"	"Ativou"	"Acida"	"Forte"	533
"Outono"	"Centro-Oeste"	4	43.79426542691494	24	"Alta"	"Urbana"	11	2	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	132
"Verao"	"Norte"	10	17.48160892777286	-10	"Baixa"	"Urbana"	12	11	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	174
"Inverno"	"Centro-Oeste"	6	41.7898405326437	21	"Alta"	"Rural"	10	12	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	106
"Inverno"	"Nordeste"	8	61.41136080408668	5	"Mediana"	"Urbana"	26	38	"Forte"	"NaoAtivou"	"Base"	"Forte"	236
"Outono"	"Sul"	14	1.6163279847393976	25	"Alta"	"Rural"	22	110	"Massivo"	"NaoAtivou"	"Base"	"Moderada"	56
"Inverno"	"Centro-Oeste"	12	40.52191338435478	27	"Alta"	"Urbana"	11	9	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	116
"Inverno"	"Norte"	12	17.14353099445841	30	"Alta"	"Rural"	12	102	"Massivo"	"NaoAtivou"	"Base"	"Moderada"	90
"Inverno"	"Nordeste"	6	68.70607331223275	7	"Mediana"	"Urbana"	28	1	"Moderado"	"NaoAtivou"	"Acida"	"Forte"	124
"Inverno"	"Nordeste"	7	67.70011681573868	8	"Mediana"	"Urbana"	25	37	"Forte"	"NaoAtivou"	"Neutra"	"Moderada"	188
"Outono"	"Sudeste"	2	34.24435313381074	17	"Mediana"	"Urbana"	28	91	"Massivo"	"NaoAtivou"	"Acida"	"Forte"	140
"Inverno"	"Sul"	2	3.8871234671627626	28	"Alta"	"Urbana"	20	99	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	138
"Verao"	"Norte"	13	13.628354322666503	-13	"Baixa"	"Rural"	13	123	"Furacao"	"NaoAtivou"	"Base"	"Moderada"	445
"Outono"	"Sul"	2	1.139565474331068	25	"Alta"	"Rural"	21	118	"Furacao"	"Ativou"	"Acida"	"Moderada"	567
"Verao"	"Nordeste"	8	69.0350709498971	0	"Baixa"	"Rural"	28	22	"Forte"	"NaoAtivou"	"Base"	"Forte"	218
"Outono"	"Norte"	0	13.649643516976735	-8	"Baixa"	"Urbana"	24	24	"Forte"	"NaoAtivou"	"Acida"	"Moderada"	232
"Inverno"	"Sul"	1	1.2767828458401125	30	"Alta"	"Rural"	24	93	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	129
"Verao"	"Norte"	11	13.024058480880512	27	"Alta"	"Urbana"	24	6	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	165
"Primavera"	"Norte"	10	16.65742214578042	20	"Mediana"	"Rural"	25	13	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	164
"Inverno"	"Norte"	13	12.373475171662234	27	"Alta"	"Rural"	25	12	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	167
"Primavera"	"Norte"	1	18.4792638917465	-5	"Baixa"	"Urbana"	25	13	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	142
"Verao"	"Sudeste"	2	29.696790637359612	19	"Mediana"	"Urbana"	7	84	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	79
"Primavera"	"Nordeste"	8	61.493411322421835	3	"Mediana"	"Urbana"	25	8	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	113
"Primavera"	"Nordeste"	6	61.648486509178355	1	"Mediana"	"Urbana"	26	25	"Forte"	"NaoAtivou"	"Acida"	"Forte"	197
"Verao"	"Sudeste"	4	30.52237413027498	15	"Mediana"	"Urbana"	29	75	"Muito Forte"	"NaoAtivou"	"Acida"	"Forte"	130
"Inverno"	"Sul"	0	4.140273755078587	31	"Alta"	"Rural"	24	27	"Forte"	"NaoAtivou"	"Acida"	"Moderada"	223
"Outono"	"Nordeste"	6	60.64032688185654	5	"Mediana"	"Urbana"	25	29	"Forte"	"NaoAtivou"	"Acida"	"Moderada"	152
"Outono"	"Sudeste"	3	29.03633144159544	19	"Mediana"	"Rural"	8	88	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	136
"Primavera"	"Sul"	0	3.93078615808711	32	"Alta"	"Rural"	21	22	"Forte"	"NaoAtivou"	"Acida"	"Moderada"	192
