MARCA	COMBUSTIVEL	TURBO	NRPORTAS	TIPO	TRACAO	POSMOTOR	PESO	Quartil_peso	NRCILINDROS	POTENCIA	Quartil_potencia	RPM	Quartil_RPM	VALOR	Quartil_valor	ANO	ORIGEM
String	String	String	Integer	String	String	String	Integer	String	Integer	Integer	String	Integer	String	Integer	String	Integer	String
alfa-romeu	gasolina	sem	2	conversivel	traseira	frontal	2548	C	4	111	C	5000	C	13495	C	1986	Europeu
alfa-romeu	gasolina	sem	2	conversivel	traseira	frontal	2548	C	4	111	C	5000	B	16500	B	1985	Europeu
alfa-romeu	gasolina	sem	2	hatch	traseira	frontal	2823	C	6	154	B	5000	B	16500	B	1984	Europeu
audi	gasolina	sem	4	sedan	frontal	frontal	2337	D	4	102	C	5500	C	13950	C	1982	Europeu
audi	gasolina	sem	2	sedan	frontal	frontal	2507	C	5	110	C	5500	C	15250	C	1987	Europeu
audi	gasolina	sem	4	sedan	4x4	frontal	2824	C	5	115	C	5500	B	17450	B	1988	Europeu
audi	gasolina	sem	4	sedan	frontal	frontal	2844	C	5	110	C	5500	B	17710	B	1981	Europeu
audi	gasolina	sem	4	wagon	frontal	frontal	2954	B	5	110	C	5500	B	18920	B	1984	Europeu
audi	gasolina	com	2	hatch	4x4	frontal	3053	B	5	160	B	5500	B	27843	B	1984	Europeu
audi	gasolina	com	4	sedan	frontal	frontal	3086	B	5	140	B	5500	B	23875	B	1985	Europeu
bmw	gasolina	sem	2	sedan	traseira	frontal	2395	C	4	101	C	5800	C	16430	C	1989	Europeu
bmw	gasolina	sem	4	sedan	traseira	frontal	2395	C	4	101	C	5800	B	16925	B	1987	Europeu
bmw	gasolina	sem	2	sedan	traseira	frontal	2710	C	6	121	B	4250	B	20970	B	1984	Europeu
bmw	gasolina	sem	4	sedan	traseira	frontal	2765	C	6	121	B	4250	B	21105	B	1982	Europeu
bmw	gasolina	sem	4	sedan	traseira	frontal	3055	B	6	121	B	3800	B	24565	B	1995	Europeu
bmw	gasolina	sem	4	sedan	traseira	frontal	3230	B	6	182	B	5400	B	30760	B	1987	Europeu
bmw	gasolina	sem	2	sedan	traseira	frontal	3380	B	6	182	B	5400	A	45315	A	1986	Europeu
bmw	gasolina	sem	4	sedan	traseira	frontal	3505	B	6	182	B	5400	B	36880	B	1985	Europeu
chevrolet	gasolina	sem	2	hatch	frontal	frontal	1488	E	3	35	E	5100	E	5151	E	1984	Europeu
chevrolet	gasolina	sem	2	hatch	frontal	frontal	1874	E	4	70	D	5400	E	6295	E	1985	Europeu
chevrolet	gasolina	sem	4	sedan	frontal	frontal	1909	E	4	70	D	5400	E	6575	E	1982	Europeu
dodge	gasolina	sem	2	hatch	frontal	frontal	1876	E	4	68	E	5500	E	5572	E	1988	Americano
dodge	gasolina	sem	4	hatch	frontal	frontal	1967	E	4	68	E	5500	E	6229	E	1981	Americano
dodge	gasolina	sem	4	sedan	frontal	frontal	1989	E	4	68	E	5500	E	6692	E	1980	Americano
dodge	gasolina	sem	4	sedan	frontal	frontal	1989	E	4	68	E	5500	E	7609	E	1982	Americano
dodge	gasolina	com	2	hatch	frontal	frontal	2128	D	4	102	C	5500	D	7957	D	1983	Americano
dodge	gasolina	com	4	sedan	frontal	frontal	2191	D	4	102	C	5500	D	8558	D	1984	Americano
dodge	gasolina	sem	4	wagon	frontal	frontal	2535	C	4	88	D	5000	D	8921	D	1982	Americano
dodge	gasolina	com	2	hatch	frontal	frontal	2811	C	4	145	B	5000	C	12964	C	1986	Americano
honda	gasolina	sem	2	hatch	frontal	frontal	1713	E	4	58	E	4800	E	6479	E	1988	Japones
honda	gasolina	sem	2	hatch	frontal	frontal	1819	E	4	76	D	6000	E	6855	E	1989	Japones
honda	gasolina	sem	2	hatch	frontal	frontal	1837	E	4	60	E	5500	E	5399	E	1983	Japones
honda	gasolina	sem	2	hatch	frontal	frontal	1940	E	4	76	D	6000	E	6529	E	1982	Japones
honda	gasolina	sem	2	hatch	frontal	frontal	1956	E	4	76	D	6000	E	7129	E	1990	Japones
honda	gasolina	sem	4	sedan	frontal	frontal	2010	E	4	76	D	6000	E	7295	E	1990	Japones
honda	gasolina	sem	4	wagon	frontal	frontal	2024	E	4	76	D	6000	E	7295	E	1987	Japones
honda	gasolina	sem	2	hatch	frontal	frontal	2236	D	4	86	D	5800	D	7895	D	1985	Japones
honda	gasolina	sem	2	hatch	frontal	frontal	2289	D	4	86	D	5800	D	9095	D	1980	Japones
honda	gasolina	sem	2	sedan	frontal	frontal	2293	D	4	100	C	5500	C	10345	C	1986	Japones
honda	gasolina	sem	4	sedan	frontal	frontal	2304	D	4	86	D	5800	D	8845	D	1980	Japones
honda	gasolina	sem	4	sedan	frontal	frontal	2372	D	4	86	D	5800	C	10295	C	1987	Japones
honda	gasolina	sem	4	sedan	frontal	frontal	2465	C	4	101	C	5800	C	12945	C	1980	Japones
isuzu	gasolina	sem	2	sedan	frontal	frontal	1874	E	4	70	D	5400	C	12460	C	1984	Japones
isuzu	gasolina	sem	4	sedan	frontal	frontal	1909	E	4	70	D	5400	C	13790	C	1988	Japones
isuzu	gasolina	sem	4	sedan	traseira	frontal	2337	D	4	78	D	4800	E	6785	E	1988	Japones
isuzu	gasolina	sem	2	hatch	traseira	frontal	2734	C	4	90	D	5000	C	11048	C	1985	Japones
jaguar	gasolina	sem	2	sedan	traseira	frontal	3950	B	12	272	B	5000	B	36000	B	1980	Europeu
jaguar	gasolina	sem	4	sedan	traseira	frontal	4066	B	6	176	B	4750	B	32250	B	1988	Europeu
jaguar	gasolina	sem	4	sedan	traseira	frontal	4766	A	6	176	B	4750	B	35550	B	1982	Europeu
mazda	gasolina	sem	2	hatch	frontal	frontal	1890	E	4	68	E	5000	E	5195	E	1984	Japones
mazda	gasolina	sem	2	hatch	frontal	frontal	1900	E	4	68	E	5000	E	6095	E	1984	Japones
mazda	gasolina	sem	2	hatch	frontal	frontal	1905	E	4	68	E	5000	E	6795	E	1982	Japones
mazda	gasolina	sem	4	sedan	frontal	frontal	1945	E	4	68	E	5000	E	6695	E	1985	Japones
mazda	gasolina	sem	4	sedan	frontal	frontal	1950	E	4	68	E	5000	E	7395	E	1982	Japones
mazda	gasolina	sem	2	hatch	traseira	frontal	2380	D	2	101	C	6000	C	10945	C	1983	Japones
mazda	gasolina	sem	2	hatch	traseira	frontal	2380	D	2	101	C	6000	C	11845	C	1989	Japones
mazda	gasolina	sem	2	hatch	frontal	frontal	2385	D	4	84	D	4800	D	8845	D	1985	Japones
mazda	gasolina	sem	2	hatch	frontal	frontal	2385	D	4	84	D	4800	C	10595	C	1981	Japones
mazda	gasolina	sem	2	hatch	traseira	frontal	2385	D	3	101	C	6000	C	13645	C	1982	Japones
mazda	gasolina	sem	4	sedan	frontal	frontal	2410	C	4	84	D	4800	D	8495	D	1987	Japones
mazda	gasolina	sem	4	sedan	frontal	frontal	2410	C	4	84	D	4800	C	10245	C	1982	Japones
mazda	gasolina	sem	4	hatch	frontal	frontal	2425	C	4	84	D	4800	C	11245	C	1981	Japones
mazda	diesel	sem	4	sedan	frontal	frontal	2443	C	4	64	E	4650	C	10795	C	1988	Japones
mazda	gasolina	sem	2	hatch	traseira	frontal	2500	C	4	135	B	6000	C	15645	C	1982	Japones
mazda	gasolina	sem	4	sedan	traseira	frontal	2670	C	4	120	B	5000	B	18280	B	1983	Japones
mazda	diesel	sem	4	sedan	traseira	frontal	2700	C	4	72	D	4200	B	18344	B	1990	Japones
mercedes-benz	diesel	com	4	sedan	traseira	frontal	3515	B	5	123	B	4350	B	25552	B	1983	Europeu
mercedes-benz	gasolina	sem	2	conversivel	traseira	frontal	3685	B	8	155	B	4750	B	35056	B	1983	Europeu
mercedes-benz	gasolina	sem	4	sedan	traseira	frontal	3740	B	8	155	B	4750	B	34184	B	1986	Europeu
mercedes-benz	diesel	com	4	wagon	traseira	frontal	3750	B	5	123	B	4350	B	28248	B	1985	Europeu
